Amount lost,Number of reports,month,year
74280,2225,Jan,2019
53509,2211,Feb,2019
168357,1974,Mar,2019
72060,1664,Apr,2019
153656,1826,May,2019
101257,1577,Jun,2019
177574,2223,Jul,2019
107720,2385,Aug,2019
121561,1974,Sep,2019
161765,2730,Oct,2019
268235,2617,Nov,2019
57890,1764,Dec,2019
123448,2399,Jan,2020
74368,2943,Feb,2020
49623,2195,Mar,2020
90999,3155,Apr,2020
50288,2363,May,2020
91219,3009,Jun,2020
159767,3707,Jul,2020
128585,4220,Aug,2020
220540,5419,Sep,2020
348691,5358,Oct,2020
133860,4903,Nov,2020
218018,4407,Dec,2020
228101,4499,Jan,2021
207269,4385,Feb,2021
227197,5342,Mar,2021
200801,4462,Apr,2021
1470933,4365,May,2021
213901,5444,Jun,2021
346947,6324,Jul,2021
383679,11059,Aug,2021
197943,8660,Sep,2021
224644,7954,Oct,2021
172088,4417,Nov,2021
450625,4388,Dec,2021
